id,category,name,decimalMap,binaryMap
66,basic,all,255 255 255 255 255 255 255 255,11111111 11111111 11111111 11111111 11111111 11111111 11111111 11111111
67,box,box,,11111111 11111111 11000011 11000011 11000011 11000011 11111111 11111111
68,box,box-inverted,,00000000 00000000 00111100 00111100 00111100 00111100 00000000 00000000
69,quarter,top left,,11110000 11110000 11110000 11110000 00000000 00000000 00000000 00000000
70,quarter,top right,,00001111 00001111 00001111 00001111 00000000 00000000 00000000 00000000
71,quarter,bottom left,,00000000 00000000 00000000 00000000 11110000 11110000 11110000 11110000
72,quarter,bottom right,,00000000 00000000 00000000 00000000 00001111 00001111 00001111 00001111
73,NEW,NEW,,00000000 00011000 00111100 01111110 00111100 00011000 00100100 00000000
74,NEW,NEW,,00000000 00011000 00111100 01111110 00111100 00011000 01000010 00000000
75,NEW,NEW,,00000000 00011000 00111100 01111110 00111100 00011000 00100100 00000000
76,NEW,NEW,,00000000 00011000 00111100 01111110 00111100 00011000 01000010 00000000
77,NEW,NEW,,00000000 00011000 00111100 01111110 00111100 00011000 00000000 00000000
78,NEW,NEW,,00000000 00011000 00111100 00111100 00011000 00000000 00000000 00000000
79,NEW,NEW,,00000000 00000000 00011000 00011000 00000000 00000000 00000000 00000000
80,NEW,NEW,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
81,NEW,NEW,,00000000 00011110 00111100 01110000 01110000 00111100 00011110 00000000
82,NEW,NEW,,00000000 01111000 00111100 00001110 00001110 00111100 01111000 00000000
83,NEW,NEW,,00000000 01100110 10011001 10000001 10000001 01000010 00100100 00011000
84,NEW,NEW,,00000000 01100110 00000000 00000000 01111110 00000000 00000000 00000000
85,NEW,NEW,,00000000 01100110 00000000 00000000 01111110 01111110 00000000 00000000
86,NEW,NEW,,00000000 01100110 00000000 00000000 01111110 01000010 01111110 00000000
87,NEW,NEW,,00000000 01100110 00000000 00000000 01111110 01111110 00000000 00000000
88,NEW,NEW,,00000000 01100110 00000000 00000000 01111110 00000000 00000000 00000000
89,NEW,NEW,,00000000 01100110 00000000 00000000 00000000 00000000 01100110 00000000
90,NEW,NEW,,00000000 01100110 00000000 00011000 00011000 00000000 01100110 00000000
91,NEW,NEW,,10000001 01100110 00000000 00011000 00011000 00000000 01100110 10000001
92,NEW,NEW,,10000001 01100110 00000000 10011001 10011001 00000000 01100110 10000001
93,NEW,NEW,,10011001 01100110 00000000 10011001 10011001 00000000 01100110 10011001
94,NEW,NEW,,10011001 01100110 00100100 10011001 10011001 00100100 01100110 10011001
95,NEW,NEW,,10011001 01100110 00100100 10000001 10000001 00100100 01100110 10011001
96,NEW,NEW,,10011001 01100110 00000000 10000001 10000001 00000000 01100110 10011001
